link,account,timestamp,tweetText,reply,retweet,like
https://twitter.com/TimpersHD/status/1422587993295044617,@TimpersHD,2021-08-03T15:59:42.000Z,"GIVEAWAY  Episode 2 of The Boring Ape Chronicles drops on Wednesday 3PM EST. This is your chance to win an edition!!  To Enter: Like, RT, tag your favourite ape and make sure you're following me for dm. Winner will be announced just before the drop. Good luck!  @BoredApeYC",353,392,771
https://twitter.com/ZombieBitsRocks/status/1422587983446827014,@ZombieBitsRocks,2021-08-03T15:59:40.000Z,"SOLD!   @LuisAngelo_0 adds a pass to the Boring Bogs- and gets entered into the raffle to win #deadheads 5140  https://opensea.io/assets/0x6fc355d4e0ee44b292e50878f49798ff755a5bbc/5140…  All bought by 8/4- 1130 ESTeligible to win!   Win a #BAYC   @BoredApeYC  ",1,3,6
https://twitter.com/Squib_eth/status/1422587783307214852,@Squib_eth,2021-08-03T15:58:52.000Z,I only found out about  @BoredApeYC  a month ago through  @garyvee  on YouTube. How did you apes find out about #BAYC so early?,39,2,86
https://twitter.com/crispylines/status/1422587307765415938,@crispylines,2021-08-03T15:56:59.000Z,"Punks if u got it like that,  @BoredApeYC  if u got it like that,  @GutterCatGang /@coolcatsnft next tier,  @WickedCraniums  the next price tier (and craniums getting lots of extras) and best bang for buck if u holding long imo. Nfa.",0,0,6
https://twitter.com/93nido/status/1422587216203747334,@93nido,2021-08-03T15:56:37.000Z,The contest generator knew to keep it in the fam   @BoredApeYC  @Ape149   enjoy and happy flipping my dude!,0,0,6
https://twitter.com/realniceguy_SRH/status/1422584951711559685,@realniceguy_SRH,2021-08-03T15:47:37.000Z,Good Morning #NFTCommunity   IM NEW IN THE #BAYC  @BoredApeYC   #1393   WHERE MY APES AT?!?  #BoredApeYachtClub #BAYC #NFT #NFTCommunity #nftcollector #NFTcollection #NFTshill #NFTcollectibles #OpenSeaNFT #opensea #Ethereum #cryptoartist,14,10,53
https://twitter.com/Nastradamus_Eth/status/1422582913888104450,@Nastradamus_Eth,2021-08-03T15:39:31.000Z,"So I just got this offer on my  @CrazyLizardArmy  Lizard...  Two  @BoredApeYC  , three @coolcatsnft  and one  @cryptopunksbot !  So I said:   You're so fake you make Barbie look real.. Double that!",5,4,17
https://twitter.com/dgtlgal/status/1422572465155416065,@dgtlgal,2021-08-03T14:58:00.000Z,"Well, I guess we need to set up a  @BoredApeYC  meet up in Illinois.  #BAYC Chicago anyone? ",7,0,12
https://twitter.com/dotta/status/1422569281452007435,@dotta,2021-08-03T14:45:21.000Z,3/ **Belonging**  Why would someone spend $20k on a picture of a chimp with rainbow teeth?  Because when you buy a  @BoredApeYC  Bored Ape you'll be greeted with a warm hug and be part of The Brotherhood.,3,3,63
https://twitter.com/Gee__Gazza/status/1422563478016077827,@Gee__Gazza,2021-08-03T14:22:17.000Z,A conversation in June about  @BoredApeYC  with a sceptical mate of mine.  Think IMGI.  #BAYC,19,20,130
